,Chart Artist Name,Spotify Artist Name,Chart Song Name,Spotify Song Name,Lev Dist,Predicted URL,Debut Year,Debut Date
3562,"Love, Peace & Happiness",Love Peace and Happiness,I Don't Want To Do Wrong,I Don't Want to Do Wrong,4.0,https://open.spotify.com/track/1WGgXVxaIIJxwY1IbUtlyV,1972,8/12/72
3671,Detroit Emeralds,The Detroit Emeralds,Do Me Right,Do Me Right,4.0,https://open.spotify.com/track/6FVelAiV2XQY3F1x5FUPHk,1971,2/20/71
3669,Porter Wagoner And Dolly Parton,Porter Wagoner Dolly Parton,The Right Combination,The Right Combination,4.0,https://open.spotify.com/track/31uzqizp3mZ3Hpcf9yf3iM,1971,7/10/71
2048,Tony Toni Tone,Tony! Toni! Toné!,Anniversary,Anniversary,4.0,https://open.spotify.com/track/6PViGgcsQhLPSkMxgoRWLl,1993,9/25/93
2894,Sherbs,The Sherbs,I Have The Skill,I Have the Skill,4.0,https://open.spotify.com/track/3TOTBRxjNKlAshvFH55OaG,1981,3/7/81
2037,Tiranos del Norte,Los Tiranos Del Norte,Hasta La Miel Amarga,Hasta la Miel Amarga,4.0,https://open.spotify.com/track/1Q1yISpMwHLn4SMo6VJVaa,1993,10/30/93
2896,Hawks,The Hawks,Right Away,Right Away,4.0,https://open.spotify.com/track/63eQ8jKMuLilIScw6fPKGf,1981,3/14/81
2890,Bobby Womack,Bobby Womack,If You Think You're Lonely,If You Think You're Lonely Now,4.0,https://open.spotify.com/track/0RN5fZ3SVyT0VhltQxNQx4,1981,12/12/81
4611,Van Dykes,The Van Dykes,Gift Of Love,Gift Of Love,4.0,https://open.spotify.com/track/20Ch2P7sSDkmf8fLs1HYaD,1961,1/16/61
4608,Dick and DeeDee,Dick & Dee Dee,The Mountain's High,The Mountain's High,4.0,https://open.spotify.com/track/2boEGV3Zcsh7AMaL3jqBGP,1961,7/31/61
