,Chart Artist Name,Spotify Artist Name,Chart Song Name,Spotify Song Name,Lev Dist,Predicted URL,Debut Year,Debut Date,Chart Appearances,Sp Artist Genres,Sp Album Genres,Sp Album Type,Sp Album Name
0,Backstreet Boys,Backstreet Boys,Show Me The Meaning Of Being Lonely,Show Me the Meaning of Being Lonely,0.0,https://open.spotify.com/track/3BsaRV5QIulYz2lV9WWa8T,2000,1/1/00,Hot100,boy band || dance pop || europop || pop,,album,Millennium
0,Jennifer Day,Jennifer Day,The Fun Of Your Love,The Fun of Your Love,0.0,https://open.spotify.com/track/7oMsHuN8P6HFDgMTvWi557,2000,1/1/00,Country,deep contemporary country,,album,The Fun of Your Love
0,Skip Ewing,Skip Ewing,Christmas Carol,Christmas Carol,0.0,https://open.spotify.com/track/7nyLB7rEsdfFwUpU72aUH8,2000,1/1/00,Country,,,album,Following Yonder Star
0,Los Tucanes de Tijuana,Los Tucanes De Tijuana,Las Heladas,Las Heladas,0.0,https://open.spotify.com/track/50sTMaXwK2k8ZTgnLNuHhE,2000,1/1/00,Latin,banda || grupera || norteno || regional mexican,,album,Amor Platónico
0,Los Mismos,Los Mismos,Basura,Basura,0.0,https://open.spotify.com/track/5hpTjWgaNbarvrlB8gZtri,2000,1/1/00,Latin,,,album,Duelo Romántico
0,Luis Miguel,Luis Miguel,Dormir Contigo,Dormir contigo,0.0,https://open.spotify.com/track/0REKETXT8fkn2C863KKlO4,2000,1/1/00,Latin,bolero || latin || latin pop,,album,Amarte Es Un Placer
0,Elmo & Patsy,Elmo & Patsy,Grandma Got Run Over By A Reindeer,Grandma Got Run over by a Reindeer,0.0,https://open.spotify.com/track/49iHYFjT5yO6WEw6KerX9o,2000,1/8/00,"Country, Hot100",novelty,,album,Grandma Got Run Over By A Reindeer
0,Mariah Carey,Mariah Carey,All I Want For Christmas Is You,All I Want for Christmas Is You,0.0,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2000,1/8/00,Hot100,dance pop || pop || r&b || urban contemporary,,album,Merry Christmas
0,Los Invasores de Nuevo Leon,Los Invasores De Nuevo León,Espero Que Te Cumpla,Espero Que Te Cumpla,1.0,https://open.spotify.com/track/1r52IECc0jLuYLG1s39xjN,2000,1/8/00,Latin,banda || grupera || norteno || ranchera || regional mexican,,album,De Vida O Muerte
0,Los Sementales De Nuevo Leon,Los Sementales de Nuevo León,Tus Reproches,Tus Reproches,1.0,https://open.spotify.com/track/11VrwO7jfnwOeZJGGcSqjU,2000,1/8/00,Latin,,,album,El Arbol De La Horca... Todos Sus Exitos
0,Lila McCann,Lila McCann,I Will Be,I Will Be,0.0,https://open.spotify.com/track/6sWd3U3hKA3zbTZMaBizgk,2000,1/15/00,Country,country || country dawn,,album,Something In The Air
0,Marc Anthony,Marc Anthony,Da La Vuelta,Da La Vuelta,0.0,https://open.spotify.com/track/1Iz1lAfs2tvQR7i4xbpInu,2000,1/15/00,Latin,latin || latin pop || modern salsa || salsa || tropical,,album,Sigo Siendo Yo
0,Sugar Ray,Sugar Ray,Falls Apart,Falls Apart,0.0,https://open.spotify.com/track/4T7fVN4ZOFE3JoGyaxZL6O,2000,1/15/00,Hot100,alternative metal || alternative rock || funk metal || neo mellow || pop rock || post-grunge,,album,14:59
0,Doug Stone,Doug Stone,Take A Letter Maria,"Take a Letter, Maria",1.0,https://open.spotify.com/track/3ayFOxxvZpurDCaJ95CoVI,2000,1/15/00,Country,country || country road || country rock,,album,Make Up In Love
0,Alecia Elliott,Alecia Elliott,I'm Diggin' It,I'm Diggin' It,0.0,https://open.spotify.com/track/1TgFc35Lsek0RtBLqQTar5,2000,1/15/00,Country,country dawn || deep contemporary country,,album,I'm Diggin' It
0,Julie Reeves,Julie Reeves,What I Need,What I Need,0.0,https://open.spotify.com/track/4JqI6ApUPqzXopYzyyvyZl,2000,1/15/00,Country,country dawn || deep contemporary country,,album,It's About Time
0,Jessica Andrews,Jessica Andrews,Unbreakable Heart,Unbreakable Heart,0.0,https://open.spotify.com/track/3DD1IRAw4NQzNe0EuGz0f1,2000,1/15/00,Country,country || country dawn,,album,Heart Shaped World
0,Shania Twain,Shania Twain,Rock This Country!,Rock This Country!,0.0,https://open.spotify.com/track/00K3iFsXALgjg5ECPLR1hs,2000,1/22/00,Country,canadian country || canadian pop || country || country dawn || dance pop,,album,Come On Over
0,Los Traviezos del Norte,Los Traviezos Del Norte,"Mujer, Mujer","Mujer, Mujer",0.0,https://open.spotify.com/track/1SnZ6e2v4MazRv0Vb9Y39p,2000,1/22/00,Latin,,,album,La Trayectoria
0,Gisselle,Gisselle,Fuego En La Cintura,Fuego en la Cintura,0.0,https://open.spotify.com/track/4G8SKGRjH2G8RsiONHcxV7,2000,1/22/00,Latin,tropical,,album,Lo Mejor De Gisselle
0,Third Eye Blind,Third Eye Blind,Never Let You Go,Never Let You Go,0.0,https://open.spotify.com/track/6jI7mAgjr5XByJ5pi7tCfv,2000,1/22/00,Hot100,alternative rock || neo mellow || pop rock || post-grunge || rock,,compilation,Rock Workout
0,Vertical Horizon,Vertical Horizon,Everything You Want,Everything You Want,0.0,https://open.spotify.com/track/4cKGldbhGJniI8BrB3K6tb,2000,1/22/00,Hot100,neo mellow || pop rock || post-grunge,,album,Everything You Want
0,D'Angelo,D'Angelo,Untitled (How Does It Feel),Untitled (How Does It Feel),0.0,https://open.spotify.com/track/4oPNN7syJYSjzDhRerF966,2000,1/22/00,"Hot100, RAB",alternative r&b || funk || hip hop || indie soul || neo soul || r&b || soul || urban contemporary,,album,Voodoo
0,Sonique,Sonique,It Feels So Good,It Feels So Good,0.0,https://open.spotify.com/track/4Y8q64VnhD0vFYy9g2WFpi,2000,1/22/00,Hot100,,,album,Hear My Cry
0,Britney Spears,Britney Spears,From The Bottom Of My Broken Heart,From the Bottom of My Broken Heart,0.0,https://open.spotify.com/track/70XtWbcVZcpaOddJftMcVi,2000,1/29/00,Hot100,dance pop || pop || pop rap || post-teen pop,,album,...Baby One More Time (Digital Deluxe Version)
0,Fiel A La Vega,Fiel A La Vega,Cancion En La Arena,Cancion En La Arena,0.0,https://open.spotify.com/track/1kdZIkX3Bdwns4j24AefP4,2000,1/29/00,Latin,puerto rican rock || reggae en espanol || tropical,,album,Tres
0,Sisqo,Sisqo,Thong Song,Thong Song,0.0,https://open.spotify.com/track/5Mmk2ii6laakqfeCT7OnVD,2000,1/29/00,"Hot100, RAB",dance pop || hip hop || hip pop || new jack swing || pop rap || r&b || urban contemporary,,album,Unleash The Dragon
0,Conjunto Primavera,Conjunto Primavera,Morir De Amor,Morir De Amor,0.0,https://open.spotify.com/track/78azd75jNthsj03uhS5JvF,2000,1/29/00,Latin,banda || cumbia || grupera || norteno || ranchera || regional mexican,,album,Gran Encuentro (20 Éxitos Originales)
0,'N Sync,*NSYNC,Bye Bye Bye,Bye Bye Bye,2.0,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn,2000,1/29/00,Hot100,boy band || dance pop || europop || pop || post-teen pop,,album,No Strings Attached
0,George Strait,George Strait,The Best Day,The Best Day,0.0,https://open.spotify.com/track/5ApdBBa3MtTzpF0MbpB2NG,2000,1/29/00,"Country, Hot100",contemporary country || country || country road,,album,Latest Greatest Straitest Hits
0,Lou Bega,Lou Bega,"Tricky, Tricky","Tricky, Tricky",0.0,https://open.spotify.com/track/4INRUdIART6zmdeLquiu5g,2000,1/29/00,Hot100,latin pop,,album,A Little Bit of Mambo
0,Aaliyah,Aaliyah,I Don't Wanna,I Don't Wanna,0.0,https://open.spotify.com/track/4h7wUvVV8Ff8UL7JqAByiL,2000,1/29/00,"Hot100, RAB",dance pop || hip hop || hip pop || pop || pop rap || r&b || urban contemporary,,compilation,Next Friday (Original Motion Picture Soundtrack)
0,Emmanuel,Emmanuel,Sentirme Vivo,Sentirme Vivo,0.0,https://open.spotify.com/track/1TgbpK1ZUhjxCKzdfA7ls9,2000,1/29/00,Latin,latin || latin pop || mexican pop || ranchera || rock en espanol,,album,Sentirme Vivo
0,2Pac + Outlawz,2Pac Outlawz,Baby Don't Cry (Keep Ya Head Up II),Baby Don't Cry (Keep Ya Head Up II),2.0,https://open.spotify.com/track/3y5pef5Z472KoYxaSdig9I,2000,2/5/00,"Hot100, RAB",g funk || gangster rap || hip hop || rap || west coast rap || gangster rap,,album,Still I Rise
0,Method Man & Redman,Methodman & Redman,Y.O.U.,Y.o.u.,1.0,https://open.spotify.com/track/3qdbCocZH6ltsvwgg03mrK,2000,2/5/00,Rap,wu fam,,album,Live In Paris
0,Los Tigres del Norte,Los Tigres Del Norte,Ando Amanecido,Ando Amanecido,0.0,https://open.spotify.com/track/138w3t8BC7Aa7r8PIhZaHR,2000,2/5/00,Latin,banda || grupera || norteno || regional mexican,,album,Herencia De Familia
